text,label
"I need to download my invoices but nothing appears.","billing"
"The charge on my card doesn’t match the price on the site.","billing"
"I subscribed once but I see two different charges for the same plan.","billing"
"Why is my usage bill higher when my usage actually dropped this month?","billing"
"The payment confirmation page froze and I don’t know if it went through.","billing"
"I can’t remove my old payment method because it keeps giving an error.","billing"
"My receipt shows tax even though I’m supposed to be tax-exempt.","billing"
"The billing history shows an amount I never authorized.","billing"
"I tried paying four times and every attempt failed.","billing"
"I didn’t get the student discount even after uploading my documents.","billing"
"The system is charging me biweekly instead of monthly.","billing"
"The app crashes every time I try to open the settings page.","bug"
"I can’t log in even after resetting my password twice.","bug"
"Search results are completely unrelated to what I typed.","bug"
"My changes disappear the moment I refresh the page.","bug"
"The attachment upload gets stuck at 99% forever.","bug"
"The dashboard freezes whenever I click on analytics.","bug"
"I can’t download any files even though I have permission.","bug"
"The mobile app logs me out randomly throughout the day.","bug"
"The reset password email link is always expired by the time I receive it.","bug"
"My notifications never show up until hours later.","bug"
"The form validation triggers even when all fields are filled.","bug"
"Dark mode keeps turning off on its own.","bug"
"The app shows duplicate entries I didn’t create.","bug"
"I can’t delete comments because the delete button doesn’t respond.","bug"
"Sorting by date puts 2024 entries before 2022 ones.","bug"
"The PDF export creates a blank file.","bug"
"The audio playback starts automatically without me pressing play.","bug"
"The app keeps switching me to another account without logging out.","bug"
"The filter keeps resetting every time I navigate to another page.","bug"
"The share link opens a 404 error page.","bug"
"The file preview shows corrupted symbols instead of text.","bug"
"I can’t change my profile picture because the upload fails.","bug"
"The UI flickers each time I scroll down.","bug"
"Search returns an error code instead of results.","bug"
"The app keeps asking me to update even though I'm on the latest version.","bug"
"The video player controls disappear randomly.","bug"
"I’m seeing a blank white screen after logging in.","bug"
"The save draft button publishes immediately instead of saving.","bug"
"The app shows I’m offline even when my internet is fine.","bug"
"I can't open messages because the chat freezes instantly.","bug"
"My session expires immediately after logging in.","bug"
"Clicking back takes me to a blank screen instead of the previous page.","bug"
"The notification counter stays at 1 even when everything is read.","bug"
"Could you add a dark mode schedule option so it turns on automatically?","feature_request"
"I’d love a way to pin important items at the top of my dashboard.","feature_request"
"Can we get keyboard shortcuts for faster navigation?","feature_request"
"It would be helpful to have custom roles with specific permissions.","feature_request"
"Please add a feature to duplicate entire projects.","feature_request"
"Can the app automatically detect duplicate contacts?","feature_request"
"I wish we had a way to archive items without deleting them.","feature_request"
"Would it be possible to add a built-in calendar view?","feature_request"
"Please add multi-language support to the interface.","feature_request"
"Can you allow exporting reports directly to Google Drive?","feature_request"
"We need a way to bulk edit tags for multiple entries.","feature_request"
"Is it possible to add filters to the notifications tab?","feature_request"
"I’d love an option to customize dashboard widgets.","feature_request"
"Could you add an offline mode for the mobile app?","feature_request"
"Adding a search inside settings would make things easier.","feature_request"
"We need an option to preview changes before publishing.","feature_request"
"Can you let users add custom fields to forms?","feature_request"
"A built-in spell check would be super useful.","feature_request"
"Please add support for biometric login.","feature_request"
"It would be great if we could set recurring reminders.","feature_request"
"Can the app remember my last selected filters?","feature_request"
"We need more themes beyond just light and dark.","feature_request"
"Could you add collaborative editing for notes?","feature_request"
"I’d like to customize notification sounds.","feature_request"
"Can you add an option to group items into folders?","feature_request"
"Would love an undo button for accidental changes.","feature_request"
"Can we get a drag-and-drop layout editor?","feature_request"
"Please add a quick-reply option in the chat.","feature_request"
"An autosave indicator would be helpful.","feature_request"
"Can we integrate this with Slack or Teams?","feature_request"
"I’d like the ability to bookmark specific pages.","feature_request"
"Could you add a template library for quicker setup?","feature_request"
"Can we get a night reading mode with softer colors?","feature_request"
"Adding a tutorial overlay for new users would help a lot.","feature_request"
"I couldn't able to pay because the payment fails every time.","billing"
"I am not able to pay at all, the system keeps rejecting it.","billing"
"I am unable to pay, no matter how many times I try.","billing"
"I can’t pay for the subscription because the payment won’t process.","billing"
"I am unable to make the payment, it just doesn’t go through.","billing"
"I tried to pay but it didn’t work, I’m still unable to pay.","billing"
"I keep trying but I’m not able to pay for my plan.","billing"
"I can’t complete the payment and I’m unable to pay.","billing"
"The payment doesn’t go through so I’m unable to pay.","billing"
"I’m not able to pay as the payment fails instantly.","billing"
"The app update is not working at all.","bug"
"After the latest update, nothing works properly.","bug"
"The update broke my dashboard view.","bug"
"The system fails every time it tries to update.","bug"
"Post-update, the app keeps freezing and is not working.","bug"
"The update button does nothing when I click it.","bug"
"Since the update, the login is not working.","bug"
"The latest update made the payment page stop working.","bug"
"The update process gets stuck and never completes.","bug"
"The new version after update is not working on my phone.","bug"
